Protocol,Opening Price,Closing Price,% Difference,Chart
Aave,358.57,295.63,19.24%,
Maker,3551.8,2501.56,34.70%,
Ethereum,2302.05,3744.42,47.71%,
InstaDApp,9.47,4.37,73.70%,
Compound,475.81,307.49,42.98%,
Uniswap,32.43,25.53,23.81%,
Convex Finance,7.23,14.76,68.49%,
yearn.finance,48256.96,33810.56,35.21%,
SushiSwap,12.45,10.76,14.56%,
Liquity,29.2,4.9,142.52%,
Synthetix,16.8,9.39,56.59%,
Balancer,57.91,21.61,91.30%,
Flexa,-,-,-,-
Bancor,6.72,3.99,50.98%,
TrueFi,0.34,0.56,48.89%,
Tornado Cash,127.61,73.8,53.43%,
Ren,0.9,0.99,9.52%,
dYdX,11.58,20.12,53.88%,
C.R.E.A.M. Finance,104.48,141.36,30%,
Rari Capital,-,-,-,-
Badger DAO,33.96,26.57,24.42%,
Nexus Mutual,-,-,-,-
Alchemix,1574.91,358.81,125.78%,
KeeperDAO,363.3,227.37,46.03%,
Fei Protocol,0.83,1,18.58%,
Harvest Finance,235.56,181.46,25.95%,
Vesper,46.24,6.84,148.46%,
Sablier,-,-,-,-
Set Protocol,-,-,-,-
Index Cooperative,31.76,31.06,2.23%,
Olympus,892.67,870.29,2.54%,
Reflexer,580.15,480.93,18.70%,
xDai,22.55,10.44,73.42%,
Saddle,-,-,-,-
KEEP Network,0.55,0.84,41.73%,
Ankr,0.16,0.1,46.15%,
Lightening,0.4,0.75,60.87%,
Element Finance,-,-,-,-
Pickle Finance,15.54,12.38,22.64%,
Enzyme Finance,96.54,135,33.22%,
Ribbon Finance,4.39,3.06,35.70%,
Kyber Network,-,-,-,-
Syntropy,0.78,0.34,78.57%,
Loopring,0.58,0.44,27.45%,
Idle Finance,11.69,3.93,99.36%,
BiFi,0.1,0.13,26.90%,
Dfyn Network,0.68,0.53,24.79%,
UMA,26.87,11.03,83.59%,